"Longitude";"Latitude";"Elevation";"Canopy_h";"Cloud_Flag_Atm";"Night_Flag";"Terrain_Slope";"Segment_Landcover";"Segment_Watermask";"MSW_Flag";"rh10";"rh15";"rh20";"rh25";"rh30";"rh35";"rh40";"rh45";"rh50";"rh55";"rh60";"rh65";"rh70";"rh75";"rh80";"rh85";"rh90";"rh95";"layer";"path";"X";"class";"vv";"vh";"b2";"b3";"b4";"b8";"b11";"b12";"geometry"
"1";102.66763;12.209535;-18.055771;17.841166;1;1;0.011403289;112;0;3;0.64656067;0.73585129;0.79893112;0.88426208;0.90943527;0.94402695;0.99546814;1.0378666;1.0728855;1.1090698;1.1779766;1.5002117;1.6643925;1.8327122;5.212121;8.3349104;13.295191;14.366668;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";1;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667633056641, 12.2095346450806)
"2";102.66754;12.208632;-17.86965;11.283104;1;1;-0.010405288;112;0;3;0.70900154;0.82564354;0.95881844;1.2321587;1.5687294;2.1753912;2.9058228;3.2727766;5.1441526;5.7137375;5.7898436;6.749918;7.3259268;7.8635483;8.6933384;9.1860437;9.4086924;10.347843;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";2;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667541503906, 12.2086324691772)
"3";102.66745;12.20773;-17.03319;17.135063;1;1;0.0065511637;112;0;3;0.59671783;0.64486313;0.68170547;0.7365303;0.81733704;0.96602249;1.0840988;1.2572746;1.9530191;5.4207258;6.2583323;7.4032021;8.1456547;8.599966;9.7918882;10.485751;12.0049;15.537745;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";3;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667449951172, 12.2077302932739)
"4";102.66736;12.206828;-13.691752;3.4028235e+38;1;1;0.093599498;116;0;3;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";4;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667358398438, 12.2068281173706)
"5";102.66727;12.205927;-7.8934374;3.4028235e+38;1;1;0.030586198;116;0;3;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;3.4028235e+38;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";5;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667266845703, 12.2059268951416)
"6";102.66717;12.205025;-1.4677807;18.905212;1;1;0.047500245;112;0;3;1.4285376;6.7729459;8.8187656;11.53702;12.634098;14.129243;14.441355;14.727988;15.116757;16.12097;16.457224;16.659384;16.736639;17.055799;17.389881;17.655802;18.1821;18.439322;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";6;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667167663574, 12.2050247192383)
"7";102.66708;12.204123;-8.9843197;20.589607;1;1;-0.07740657;112;0;3;1.4215569;1.8418294;3.0062432;4.2473049;6.9558225;7.7345085;8.7822361;10.455907;11.703868;12.63967;13.571445;14.456549;15.887471;17.108324;17.819033;17.988623;19.034786;20.007689;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";7;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.667083740234, 12.204122543335)
"8";102.66699;12.20322;-10.949352;16.008633;1;1;-0.03335334;112;0;3;0.83257294;7.3775735;8.861763;10.359419;11.427439;11.885325;12.224552;12.669465;13.033031;13.2092;13.577481;13.940964;14.105832;14.412638;14.573086;14.900773;15.137038;15.59243;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";8;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.6669921875, 12.2032203674316)
"9";102.6669;12.202318;-12.467667;24.449009;1;1;0.087076932;112;0;3;1.7740469;2.4132824;2.7820358;3.1194677;3.9349291;5.1606474;7.6272674;10.266133;10.717833;11.371892;12.932025;15.186867;16.155535;18.542837;19.453678;20.916618;22.421041;23.791349;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";9;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.666900634766, 12.2023181915283)
"10";102.66681;12.201416;-6.0049028;21.921066;1;1;-0.083047412;112;0;3;1.2431035;1.7849684;1.8074279;2.077632;7.7961411;8.1009789;11.608485;12.523072;12.894793;13.235615;14.269495;16.694038;18.312136;19.057972;20.279993;20.49004;20.767063;21.409569;"145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered";"H:/02 MSc/MASTER 2025/JGSEE/Paper/output_filtered/content/data_icesat2/output/145812169_ATL08_20190106164028_01410207_007_01_subsetted_gt1l_filtered.geojson";10;0;NA;NA;NA;NA;NA;NA;NA;NA;c(102.666809082031, 12.201416015625)
